Akkoord,Sex,Nation,Q16,Q17,AggressionPhysical,AggressionVerbal,AggressionAnger,AggressionHostility,Selfmonitoring,ATTACH_TOTAL,id_centrality,id_solidarity,id_satisfaction,id_SelfStereotype,id_IngroupHomogeneity,AggressionTotal
yes,female,Other_country,Blue,Cats,1.888888889,2,1.571428571,3,1.833333333,4.866666667,3.333333333,1.666666667,5.25,4,2.5,2.137931034
yes,male,Other_country,Green,Cats,2.111111111,2.8,2.428571429,3.375,2.666666667,2.933333333,2.333333333,1.666666667,5,4.5,4,2.655172414
yes,male,Germany,Blue,Cats,5.111111111,6,4.285714286,4.625,1.833333333,3.866666667,6,4.666666667,6.25,3.5,2,4.931034483
yes,female,Other_country,Green,Cats,2.666666667,3.8,4.714285714,5.25,1.916666667,4.533333333,5.333333333,4.666666667,7,4,4,4.068965517
yes,female,Germany,Brown,Dogs,3.444444444,4.8,4.571428571,4.75,1.333333333,3.133333333,5.333333333,5.333333333,6,2,4.5,4.310344828
yes,female,Other_country,Brown,Dogs,4.888888889,4,5,3.75,0.25,3.666666667,1.666666667,1.666666667,4.75,2,4,4.448275862
yes,female,Other_country,Brown,Dogs,4.111111111,3.8,4,3,1.833333333,4.733333333,6,6,6.5,6.5,3,3.724137931
yes,male,Other_country,Green,Dogs,2.333333333,4,3.428571429,4.375,1.5,4.333333333,3.666666667,3.333333333,5,3.5,4,3.448275862
yes,male,Other_country,Brown,Dogs,4.555555556,3.6,3.142857143,3.75,1.75,3.733333333,6,4.333333333,5.75,5.5,6.5,3.827586207
yes,female,Germany,Brown,Cats,5.111111111,5.4,5.285714286,5.875,1.833333333,1.933333333,3.666666667,1,4.75,1,2.5,5.413793103
yes,male,Germany,Brown,Dogs,3.222222222,5,1.571428571,3.625,2.083333333,3.266666667,2.666666667,1,1.25,1.5,1,3.24137931
yes,female,Germany,Brown,Dogs,3.222222222,4.6,4.857142857,1.875,1.25,5.466666667,2.666666667,6.666666667,6.5,3,1.5,3.482758621
yes,female,Germany,Green,Dogs,2.111111111,3.2,2.571428571,3.875,1.75,3,3.333333333,3.666666667,5,4,2,2.896551724
yes,female,Netherlands,Brown,Cats,4.888888889,4.8,3.428571429,4.875,2,3.666666667,6,3.333333333,6,2.5,5,4.517241379
yes,female,Germany,Blue,Cats,2.111111111,5.2,3.857142857,5.625,2.5,2.333333333,4,3.333333333,5.25,4.5,4,4.034482759
yes,female,Other_country,Brown,Cats,2.666666667,4.4,2.285714286,3.125,1.75,4.2,5,6.666666667,6.75,6,5,3
yes,male,Germany,Green,Dogs,1.333333333,3,2.285714286,2.375,0.916666667,5.066666667,2.333333333,4.666666667,4.75,4,3,2.137931034
yes,female,Other_country,Brown,Dogs,3.333333333,4.4,4.285714286,5,1.916666667,4.733333333,4.333333333,6,5.25,6,6,4.206896552
yes,female,Germany,Blue,Dogs,3.111111111,5.2,3.285714286,3.75,1.5,3.933333333,2,3.333333333,4.75,3,4,3.689655172
yes,female,Netherlands,Green,Dogs,2.333333333,3.4,2.142857143,5.875,2,3.066666667,3.666666667,5,5,5,4.5,3.448275862
yes,male,Other_country,Brown,Dogs,4.333333333,4.8,2.857142857,4.125,0.75,4.533333333,3.666666667,2.333333333,5.5,1,1,4
yes,male,Netherlands,Brown,Dogs,1.333333333,5.8,3.142857143,4.125,1.75,2.533333333,2.333333333,5,5,3,4,3.310344828
yes,male,Other_country,Brown,Dogs,1.777777778,3.4,3.857142857,2.5,0.75,4.666666667,5,5,5.75,4.5,5,2.75862069
yes,female,Other_country,Brown,Cats,4.888888889,5.8,5.428571429,5.875,1.75,3.733333333,5.333333333,5.666666667,5.5,5,5.5,5.448275862
yes,female,Netherlands,Brown,Cats,1.111111111,4,1.714285714,3.25,1.833333333,4.266666667,4.333333333,5,5.5,4.5,5,2.344827586
yes,female,Germany,Blue,Cats,3.333333333,4.4,5,5.375,1.75,3.066666667,3.666666667,5,5.25,4,5,4.482758621
yes,female,Germany,Green,Cats,3.222222222,4.6,5.142857143,4.125,2,3.6,2,2.333333333,3,2.5,2,4.172413793
yes,male,Germany,Blue,Cats,3.666666667,4.2,2.714285714,2.5,1.833333333,4.333333333,5.333333333,7,7,5.5,3.5,3.206896552
yes,Click to write Choice 3,Other_country,Brown,Cats,3.666666667,3.6,3.714285714,4.875,2,2.6,4.666666667,4.333333333,4.25,3,5,4
yes,male,Germany,Brown,Dogs,3,4.6,3.714285714,4.875,1.416666667,4.066666667,4.666666667,7,6.75,4,1.5,3.965517241
yes,Click to write Choice 3,Germany,Blue,Dogs,1.222222222,3,3,5.5,1.666666667,2.133333333,7,7,7,6,6,3.137931034
yes,female,Other_country,Brown,Cats,3.777777778,3.6,4.428571429,4.625,2,2.133333333,5,4,5.25,3,3.5,4.137931034
yes,female,Germany,Brown,Dogs,3.555555556,5,4.285714286,4.625,1.75,3.066666667,6,5,5.75,3,3,4.275862069
yes,female,Other_country,Blue,Cats,2.777777778,4.2,4.285714286,2.375,2,4.733333333,4.333333333,4.666666667,4.5,3.5,3.5,3.275862069
yes,female,Germany,Green,Dogs,1.555555556,2.2,3.142857143,3.375,1.833333333,3.6,5.666666667,5,6.25,4,3.5,2.551724138
yes,male,Germany,Blue,Cats,4.333333333,4.8,5.428571429,6.25,2.833333333,2.066666667,6.333333333,2,5.5,2,1.5,5.206896552
yes,female,Other_country,Brown,Dogs,4.444444444,4.6,4.857142857,4.375,2.083333333,4.266666667,6.333333333,4,5.75,3,5,4.551724138
yes,male,Germany,Grey,Cats,3.222222222,4.6,2.285714286,3.875,1.833333333,3.933333333,2,5,4.75,5,4,3.413793103
yes,female,Netherlands,Brown,Cats,2.555555556,4.2,4,4.625,1.75,3,4.333333333,5,4.75,5,5,3.75862069
yes,female,Germany,Green,Cats,3.666666667,4.2,3.428571429,3.875,2.166666667,3.333333333,6,6,5.5,4,5,3.75862069
yes,female,Germany,Blue,Dogs,2.888888889,4.2,2.571428571,4.125,1.333333333,3.733333333,5.666666667,4.666666667,7,2.5,2,3.379310345
yes,female,Germany,Brown,Dogs,2.222222222,3.6,2.142857143,3.75,2.166666667,2.866666667,5.666666667,6.333333333,6.75,4,4,2.862068966
yes,male,Other_country,Brown,Dogs,4,6.2,4.857142857,5.375,2.083333333,3.666666667,5,2.333333333,4.5,4,4.5,4.965517241
yes,female,Germany,Brown,Cats,2.444444444,4.4,3.285714286,3.875,1.583333333,3.8,3.333333333,4,4.5,4,3,3.379310345
yes,female,Germany,Blue,Dogs,2,3.2,3,3.5,1.5,3.066666667,3.333333333,4.666666667,5.75,2.5,4,2.862068966
yes,female,Netherlands,Green,Dogs,2.222222222,4.8,2.857142857,3.875,1.916666667,3.066666667,4.333333333,6.333333333,7,5.5,4,3.275862069
yes,female,Other_country,Brown,Cats,3.444444444,4.4,3.142857143,4.75,1.416666667,3.333333333,3.666666667,3.666666667,4.75,4,4.5,3.896551724
yes,female,Germany,Brown,Dogs,2.555555556,4.2,3.285714286,4.375,1.416666667,3.866666667,3,3.666666667,5.5,4.5,4,3.517241379
yes,female,Germany,Green,Cats,1.444444444,4.4,2.714285714,5,1.583333333,3.4,5.333333333,5,7,5,4,3.24137931
yes,female,Germany,Green,Cats,2.555555556,4.2,3,2.625,1.666666667,5.533333333,3,4.666666667,6,5,2.5,2.965517241
yes,female,Germany,Brown,Cats,3.777777778,3.8,4,3.875,1.666666667,4.333333333,5,5.666666667,6,5.5,3,3.862068966
yes,female,Netherlands,Green,Cats,2,3.6,1.428571429,1.25,1.25,4.933333333,1,4.666666667,4.5,4,5,1.931034483
yes,female,Germany,Grey,Dogs,2.555555556,5.2,3,3.875,1.416666667,3.666666667,2.333333333,5,5.5,5.5,1.5,3.482758621
yes,male,Germany,Blue,Dogs,2.777777778,5.4,2,3,1.333333333,3.333333333,3,5.333333333,5.75,4.5,4.5,3.103448276
yes,male,Germany,Brown,Cats,3.555555556,6,3.714285714,4.25,1.666666667,3.4,3.333333333,5,5,4,3.5,4.206896552
yes,female,Germany,Green,Dogs,1.888888889,3.2,1.857142857,3.5,1.25,3.733333333,3,5.333333333,5.5,3.5,2,2.551724138
yes,female,Germany,Brown,Cats,4.333333333,3.4,2.857142857,3.875,1.416666667,4.2,3.666666667,4.666666667,5,4,4,3.689655172
yes,male,Germany,Blue,Dogs,2,3.4,2.714285714,4.125,1.666666667,4.733333333,5.666666667,5.666666667,6,4,4.5,3
yes,male,Other_country,Brown,Dogs,5.444444444,5.4,3.857142857,3.375,1.166666667,4.133333333,2.666666667,3.333333333,5.25,2,5,4.482758621
yes,female,Germany,Brown,Dogs,1.888888889,3.8,3.428571429,4.375,1.666666667,4.2,3.333333333,4.666666667,6.25,3,5,3.275862069
yes,female,Germany,Blue,Dogs,1.888888889,3.4,4.714285714,3.625,1.916666667,3.733333333,4.333333333,3.333333333,5.5,5,5,3.310344828
yes,male,Germany,Brown,Dogs,1.444444444,5,1,1.125,2.333333333,6.066666667,7,7,7,4,4,1.862068966
yes,female,Other_country,Brown,Dogs,3.888888889,2.6,2.428571429,2.5,2,4.466666667,6.333333333,6.333333333,6.5,5.5,5.5,2.931034483
yes,male,Other_country,Brown,Dogs,3.444444444,4.4,1.857142857,3.25,1.25,2.8,2.666666667,3,3.5,2.5,2.5,3.172413793
yes,female,Netherlands,Blue,Dogs,3.555555556,3.4,2.714285714,3.875,1.75,4.266666667,4,4.666666667,5,4.5,5,3.413793103
yes,female,Other_country,Brown,Dogs,2.444444444,3.4,3.428571429,4.5,1.583333333,4.333333333,5.666666667,4.333333333,6,4,3,3.413793103
yes,male,Netherlands,Blue,Cats,4.555555556,5.2,3.714285714,4,2,4,3.666666667,4.666666667,4.75,4,3,4.310344828
yes,female,Germany,Brown,Dogs,1.555555556,2.8,3.714285714,3,2.333333333,3.466666667,5.666666667,5.333333333,6.75,5.5,4.5,2.689655172
yes,male,Netherlands,Blue,Cats,3.777777778,5.2,4.857142857,3.625,1.166666667,4.333333333,4.666666667,2,5.75,2,4,4.24137931
yes,male,Netherlands,Blue,Dogs,3.777777778,4.8,2.857142857,4.5,2.083333333,3.8,6,4.666666667,5.75,2.5,2,3.931034483
yes,female,Netherlands,Blue,Cats,2.222222222,3.4,1.571428571,2.25,1.083333333,5.266666667,3.333333333,4.666666667,5,1.5,3,2.275862069
yes,female,Germany,Brown,Dogs,3.444444444,5,3.571428571,5.125,2.333333333,3.4,6.666666667,6.666666667,7,4,3,4.206896552
yes,Click to write Choice 3,Netherlands,Blue,Dogs,2.444444444,4.4,1.857142857,2.625,1.583333333,4.4,4.666666667,6,6.5,5.5,5,2.689655172
yes,female,Netherlands,Blue,Cats,3.777777778,4.6,3.142857143,5.25,2.416666667,3.533333333,3.333333333,2.666666667,5,4.5,5.5,4.172413793
yes,female,Other_country,Other,Dogs,1.777777778,1.8,2.857142857,4,2.333333333,3.8,2.333333333,3.333333333,3,1.5,1.5,2.655172414
yes,female,Other_country,Brown,Dogs,1.555555556,4.6,3.571428571,3.875,1.75,4.4,3.666666667,5,5.5,4,4,3.206896552
yes,female,Other_country,Brown,Dogs,2.777777778,3.6,3.714285714,4.75,2.25,2.866666667,5.666666667,4,6.25,3.5,4,3.689655172
yes,female,Germany,Green,Dogs,4.555555556,5.2,3,3.875,1.583333333,4.4,3,3.333333333,3.75,4,3.5,4.103448276
yes,Click to write Choice 3,Netherlands,Brown,Cats,4,4.4,3.714285714,5.25,2.5,1.866666667,3.333333333,3.666666667,5.75,2,4,4.344827586
yes,female,Germany,Blue,Dogs,1.666666667,5,3.142857143,4.625,1.583333333,4.466666667,2.666666667,5,4.25,4,3.5,3.413793103
yes,female,Germany,Brown,Cats,1.111111111,2.8,1.285714286,2.625,1.166666667,4.133333333,4,4.666666667,6,3.5,3.5,1.862068966
yes,female,Germany,Brown,Dogs,2.555555556,3,1.714285714,3.875,2,3.4,4.666666667,5.333333333,5.75,4.5,4,2.793103448
yes,male,Germany,Blue,Cats,3.333333333,5.2,4.142857143,3.75,1.083333333,4.533333333,5,3.666666667,5.5,2,3,3.965517241
yes,female,Germany,Brown,Cats,2.333333333,3.8,2.857142857,3.625,1.583333333,3.6,4.666666667,5.666666667,5.25,4.5,3,3.068965517
yes,Click to write Choice 3,Other_country,Blue,Cats,2.222222222,3.6,4.285714286,5.125,1.833333333,1.933333333,5.333333333,2.333333333,3.75,4,4,3.75862069
yes,female,Germany,Green,Dogs,2.555555556,1.8,2.142857143,3.25,1.5,2.666666667,6.666666667,5.666666667,7,4.5,5.5,2.517241379
yes,female,Germany,Blue,Dogs,1.888888889,1.4,2.285714286,2.375,1.833333333,3.933333333,4.666666667,5,5.75,4.5,5,2.034482759
yes,female,Germany,Blue,Dogs,4.888888889,4.4,5.142857143,4.5,1.666666667,3.2,4.666666667,4.666666667,6,5,3.5,4.75862069
yes,female,Netherlands,Blue,Cats,2.111111111,3,2,3,1.666666667,4.6,3,5,5.5,4,4.5,2.482758621
yes,female,Netherlands,Blue,Dogs,1.222222222,3.6,2,2.75,1.083333333,4.733333333,5,6,6.75,6,6,2.24137931
yes,male,Germany,Green,Dogs,4.333333333,6.2,3.857142857,3.375,1.833333333,5.466666667,4.333333333,5.666666667,5.25,4.5,3.5,4.275862069
yes,male,Other_country,Brown,Dogs,3.555555556,3.2,3.142857143,4.5,1.5,3.733333333,3.666666667,4.333333333,5,3.5,3.5,3.655172414
yes,female,Netherlands,Blue,Dogs,2.888888889,4.8,4,4.25,2.083333333,3.866666667,5,2.333333333,5.75,2.5,4,3.862068966
yes,female,Germany,Blue,Dogs,1.777777778,5.8,2.428571429,4.375,1,4.133333333,3.333333333,5,6,4,4,3.344827586
yes,female,Germany,Brown,Dogs,3.111111111,4.2,2.857142857,5.125,1.75,3.2,6,4.333333333,6,5,5.5,3.793103448
yes,male,Netherlands,Green,Dogs,4.444444444,4.6,3.142857143,3.75,1.833333333,3.533333333,4.333333333,4.333333333,4.5,4,2,3.965517241
yes,female,Germany,Brown,Dogs,3.777777778,4.4,3.285714286,4.125,1.583333333,3.933333333,6,6,6,4.5,5.5,3.862068966
yes,male,Netherlands,Brown,Dogs,2,2.2,2,3.25,1.583333333,3.666666667,2.333333333,1.666666667,3.5,3,2.5,2.379310345
yes,female,Netherlands,Green,Dogs,2.666666667,4.2,2.571428571,2.5,1.166666667,4.933333333,5.333333333,6,6,4.5,4,2.862068966
yes,female,Netherlands,Green,Dogs,1.888888889,4.8,4,3.125,1.166666667,4.533333333,2.666666667,4.333333333,5.25,3,4,3.24137931
yes,female,Netherlands,Other,Cats,3.555555556,4.4,2.857142857,3.25,1.833333333,3.4,3,5.666666667,6,1,1,3.448275862
yes,female,Other_country,Other,Dogs,3.444444444,3.4,3.285714286,3.125,0.75,3.533333333,1,1,1.75,1.5,1,3.310344828
yes,male,Netherlands,Brown,Dogs,2.333333333,5.2,2,1.625,1.25,5.066666667,4,7,7,2,5.5,2.551724138
yes,male,Germany,Brown,Cats,3.666666667,6,1.857142857,3.875,1.833333333,3,1.333333333,2.333333333,3.25,1.5,2,3.689655172
yes,female,Germany,Brown,Dogs,4.444444444,5.4,5.285714286,4.375,0.916666667,3.266666667,2,5.333333333,5,3,2.5,4.793103448
yes,male,Netherlands,Brown,Dogs,5,5.4,3.857142857,4.375,1.333333333,4.4,3.333333333,6.666666667,6,2.5,1,4.620689655
yes,female,Germany,Brown,Dogs,4.888888889,5.6,5.285714286,4.5,1,3.6,2.333333333,5,5,3.5,3.5,5
yes,male,Netherlands,Brown,Cats,2.888888889,5.6,5,2.375,2.083333333,4.4,3.333333333,5,5,3,4.5,3.724137931
yes,female,Germany,Blue,Cats,3.222222222,3.8,4,4.75,0.833333333,4.8,5.666666667,6.333333333,7,5.5,4,3.931034483
yes,male,Germany,Blue,Cats,3.666666667,4.8,3.571428571,4.125,1.333333333,3.866666667,6,5.333333333,6.5,4,5,3.965517241
yes,female,Germany,Brown,Dogs,3.777777778,2.8,2.571428571,4,1.666666667,4.733333333,3,3.333333333,4.25,1,2,3.379310345
yes,female,Germany,Brown,Cats,1.555555556,3.2,2,1.375,1.583333333,3.533333333,6.666666667,5.666666667,6.75,5,5.5,1.896551724
yes,female,Germany,Brown,Cats,3.111111111,4.8,4.428571429,3.75,2,3.466666667,3,4.333333333,5.25,2.5,3,3.896551724
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,female,Germany,Grey,Cats,1.888888889,3.2,3.142857143,5.125,1.833333333,3.2,5,4.666666667,5,3.5,2,3.310344828
yes,female,Other_country,Green,Cats,4.333333333,3.6,4.857142857,5.25,2.166666667,2.8,5.333333333,4,6,5,5.5,4.586206897
yes,male,Netherlands,Brown,Dogs,1.666666667,1,1.857142857,1,0.75,3.666666667,1,1,1,1,1,1.413793103
yes,male,Other_country,Green,Cats,3,4.8,3.714285714,4.5,1.916666667,3.4,7,2.666666667,5.75,4,4,3.896551724
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,female,Netherlands,Grey,Cats,3.222222222,4.4,3.285714286,3.75,1.75,3.6,3,5,5.5,4,3.5,3.586206897
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,1.444444444,3.6,2.285714286,4.25,1.333333333,NA,NA,NA,NA,NA,NA,2.793103448
yes,male,Netherlands,Brown,Dogs,3.777777778,4,3.714285714,4.625,1.25,4.533333333,3.666666667,5.666666667,4.5,3.5,2.5,4.034482759
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,female,Germany,Blue,Cats,2,5,2.428571429,3.125,2.25,3.266666667,3.666666667,4,5.5,3.5,4,2.931034483
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,2.777777778,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1.482758621
yes,female,Netherlands,Brown,Dogs,3.222222222,5,4,4.75,1.833333333,3.933333333,3.666666667,2.666666667,5,2.5,2.5,4.137931034
yes,female,Germany,Blue,Dogs,1.666666667,4.2,2.714285714,3.875,1.583333333,3.466666667,4.666666667,5,6.75,4.5,5.5,2.965517241
yes,female,Other_country,Green,Cats,1.222222222,2.8,1.714285714,1.625,0.333333333,5.466666667,5,6,6,4,2.5,1.724137931
yes,female,Germany,Green,Dogs,4.111111111,5.4,3.714285714,3.875,1.916666667,4.533333333,2,5.666666667,3.25,3,4,4.172413793
yes,female,Other_country,Brown,Dogs,3.777777778,4.8,4.714285714,5,0.916666667,4.133333333,4.666666667,4,6.5,4,5,4.517241379
yes,female,Germany,Brown,Dogs,3.444444444,3.4,3.714285714,3.25,1.916666667,4,5.666666667,4,7,2.5,3,3.448275862
yes,female,Germany,Green,Dogs,2.222222222,4.2,2.857142857,4.125,1.916666667,4.333333333,5.666666667,5.333333333,6.5,4,2.5,3.24137931
yes,male,Netherlands,Brown,Cats,2.666666667,4.4,4.142857143,3.375,2.25,4.6,4,5.333333333,5.75,4.5,5,3.517241379
yes,NA,NA,NA,NA,5.444444444,5.4,4,3.25,NA,NA,NA,NA,NA,NA,NA,4.482758621
yes,male,Germany,Brown,Cats,2.777777778,4.6,3.714285714,3.375,2.083333333,3.666666667,6,3,5.5,4,2.5,3.482758621
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,3.666666667,3.6,3.142857143,3,1.333333333,NA,NA,NA,NA,NA,NA,3.344827586
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,male,Germany,Blue,Dogs,2,5.4,2.285714286,3.375,1.166666667,3.8,4.666666667,3.333333333,4.5,3,5,3.034482759
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,2.111111111,4.4,3,2.75,NA,NA,NA,NA,NA,NA,NA,2.896551724
yes,male,Germany,Green,Cats,2.888888889,4.4,2.428571429,3.75,1.5,3.2,6.333333333,5.666666667,6.5,4,2,3.275862069
yes,female,Netherlands,Green,Dogs,2,2.8,3.428571429,3.125,1.166666667,3.533333333,3.333333333,3.333333333,4,4,3.5,2.793103448
yes,male,Germany,Blue,Cats,2,4.8,2.714285714,2.375,1.916666667,3.8,5.333333333,6,6.5,5,3,2.75862069
yes,male,Germany,Blue,Dogs,1.777777778,4.8,3.571428571,4.5,1.416666667,2.8,6,4.666666667,6.5,1,4.5,3.482758621
yes,female,Germany,Blue,Dogs,1.222222222,3.8,3,3.125,1.25,4.466666667,5,5,6,6,3.5,2.620689655
yes,female,Other_country,Brown,Dogs,3.222222222,4,3.714285714,4.875,1.5,3.466666667,6.333333333,6.333333333,6.25,4.5,4.5,3.931034483
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,NA,NA,NA,NA,1,2.4,1.428571429,3.125,NA,NA,NA,NA,NA,NA,NA,1.931034483
yes,female,Germany,Green,Cats,3.888888889,4.4,3.142857143,3.375,1.583333333,3.266666667,5.666666667,6,6.25,4.5,5.5,3.655172414
yes,NA,NA,NA,NA,1.444444444,3.8,6,NA,NA,NA,NA,NA,NA,NA,NA,1.310344828
yes,female,Netherlands,Grey,Dogs,2.222222222,2.8,2.714285714,3.5,1.333333333,4.2,5.333333333,5.333333333,5.25,5,3.5,2.793103448
yes,male,Germany,Blue,Dogs,3.888888889,4.4,2.571428571,3.375,1.75,4.266666667,4,4.666666667,5.25,4,4,3.517241379
yes,male,Netherlands,Brown,Cats,1.555555556,3.2,3,2.25,1.333333333,3.8,5,5.333333333,5.5,5,4,2.379310345
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,female,Germany,Brown,Dogs,2.777777778,3.6,1.857142857,3.375,1.916666667,4.4,3.666666667,5,6,3,3.5,2.862068966
yes,female,Germany,Blue,Dogs,1.777777778,2.2,1.285714286,3.125,2.25,3.666666667,7,7,7,7,7,2.103448276
yes,male,Germany,Blue,Dogs,5.222222222,4.2,3.285714286,4.625,2.166666667,4.466666667,7,7,7,6,7,4.413793103
yes,female,Germany,Green,Cats,1.666666667,3.8,3,2.75,1.083333333,4.666666667,2.333333333,5.333333333,5.5,4,5,2.655172414
yes,male,Germany,Brown,Cats,2.666666667,4.8,1.571428571,2.25,1,4.933333333,5.666666667,5.333333333,6.25,4,4.5,2.655172414
yes,male,Germany,Brown,Dogs,4,4.8,4.142857143,4.25,1.25,3.133333333,3,3,3.5,3,2.5,4.24137931
yes,female,Other_country,Brown,Dogs,3.333333333,3.8,4.428571429,5,2.333333333,3.333333333,5,3.666666667,5,4,3.5,4.137931034
yes,male,Germany,Blue,Cats,2.777777778,5,2.428571429,2.625,1.833333333,5.533333333,4.666666667,7,6.5,4.5,4,3.034482759
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,female,Germany,Green,Cats,3.222222222,2.8,2.428571429,3,1.083333333,3.733333333,1.333333333,2.666666667,1.75,2.5,1,2.896551724
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,female,Other_country,Green,Dogs,3.111111111,4,4.857142857,5.375,2.416666667,1.666666667,3.333333333,1.666666667,5.25,3,2.5,4.310344828
yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
